name,rating,reviews,location,salery,interview,job_ava
TCS,3.5,1L,IT Services & Consulting | Bangalore / Bengaluru +419 other locations,9.4L,11.5k,812
Accenture,3.7,66.6k,IT Services & Consulting | Bangalore / Bengaluru +235 other locations,6.3L,8.9k,30.6k
Wipro,3.7,59.8k,IT Services & Consulting | Bangalore / Bengaluru +362 other locations,4.6L,6.3k,6.9k
Cognizant,3.7,56.8k,IT Services & Consulting | Hyderabad / Secunderabad +220 other locations,5.8L,6.1k,374
Capgemini,3.7,48.6k,IT Services & Consulting | Bangalore / Bengaluru +177 other locations,4.6L,5.2k,2k
HDFC Bank,3.8,46.3k,Banking | Mumbai +1742 other locations,1.4L,2.7k,200
Infosys,3.5,44.7k,IT Services & Consulting | Bangalore / Bengaluru +234 other locations,5L,8.1k,1.7k
ICICI Bank,4.0,42.6k,Banking | Mumbai +1397 other locations,1.5L,2.8k,8
HCLTech,3.4,41.7k,IT Services & Consulting | Chennai +220 other locations,3.6L,4.3k,284
Tech Mahindra,3.4,39.9k,IT Services & Consulting | Hyderabad / Secunderabad +325 other locations,2.8L,4.3k,605
Genpact,3.7,38k,IT Services & Consulting | Hyderabad / Secunderabad +166 other locations,2.2L,3.6k,399
Teleperformance,3.9,34.1k,BPO | Mumbai +243 other locations,93.2k,2.1k,616
Axis Bank,3.7,29.9k,Banking | Mumbai +1463 other locations,1L,1.8k,661
Concentrix Corporation,3.6,29.7k,BPO | Bangalore / Bengaluru +169 other locations,1.3L,1.8k,108
Amazon,4.0,28.7k,Internet | Bangalore / Bengaluru +504 other locations,1.4L,5.6k,1.6k
Jio,4.3,28.6k,Telecom | Mumbai +1744 other locations,62.2k,3k,61
iEnergizer,4.7,26.4k,BPO | Noida +47 other locations,23.4k,905,33
Reliance Retail,3.9,25.3k,Retail | Mumbai +1114 other locations,71.7k,1.8k,88
IBM,3.9,24.3k,IT Services & Consulting | Bangalore / Bengaluru +157 other locations,2.1L,2.5k,2.2k
LTIMindtree,3.7,23.7k,IT Services & Consulting | Bangalore / Bengaluru +137 other locations,1.9L,3.1k,465
HDB Financial Services,3.9,23.3k,NBFC | Mumbai +1055 other locations,49.4k,997,207
Larsen & Toubro Limited,3.9,21.5k,Engineering & Construction | Chennai +728 other locations,72k,1.7k,879
Deloitte,3.7,20.9k,Management Consulting | Hyderabad / Secunderabad +175 other locations,2.3L,3.1k,1.7k
Kotak Mahindra Bank,3.7,20.3k,Banking | Mumbai +666 other locations,85.4k,1.3k,1.1k
Reliance Industries,4.0,18.4k,Oil & Gas | Jamnagar +782 other locations,70.6k,1.5k,41
Vodafone Idea,4.0,16.7k,Telecom | Pune +681 other locations,50.8k,630,28
BYJU'S,3.1,16.5k,EdTech | Bangalore / Bengaluru +321 other locations,56.4k,2.1k,--
Bharti Airtel,3.9,15.7k,Telecom | Gurgaon / Gurugram +762 other locations,48.2k,1k,452
WNS,3.3,13.8k,BPO | Pune +58 other locations,67.5k,1.2k,89
Tata Motors,4.1,13.1k,Automobile | Pune +490 other locations,42k,1.2k,170
AU Small Finance Bank,4.1,13.1k,Banking | Jaipur +746 other locations,27.9k,625,26
IndusInd Bank,3.4,12.8k,Banking | Mumbai +773 other locations,50.7k,716,154
Ernst & Young,3.4,12.8k,Management Consulting | Bangalore / Bengaluru +122 other locations,1.3L,1.3k,2.1k
IDFC FIRST Bank,3.9,12.6k,Banking | Mumbai +689 other locations,47.6k,837,41
Flipkart,3.9,11.9k,Internet | Bangalore / Bengaluru +545 other locations,52k,1.5k,160
DXC Technology,3.6,11.2k,IT Services & Consulting | Bangalore / Bengaluru +132 other locations,73k,864,309
Bajaj Finserv,3.9,11.1k,Financial Services | Pune +1091 other locations,28.8k,649,32
PwC,3.3,11.1k,Management Consulting | Bangalore / Bengaluru +125 other locations,1.1L,1.5k,933
Infosys BPM,3.5,11.1k,BPO | Bangalore / Bengaluru +87 other locations,69.8k,1k,42
Mahindra & Mahindra,4.1,11k,Automobile | Pune +541 other locations,38.6k,795,1
HDFC Life,3.9,10.8k,Insurance | Mumbai +669 other locations,31.7k,732,130
Conneqt Business Solutions,3.6,9.6k,BPO | Hyderabad / Secunderabad +256 other locations,25.7k,533,378
Mphasis,3.3,9.5k,IT Services & Consulting | Bangalore / Bengaluru +60 other locations,71.3k,880,36
Bandhan Bank,3.7,9.5k,Banking | Kolkata +952 other locations,24.4k,677,8
Yes Bank,3.7,9.1k,Banking | Mumbai +515 other locations,42.7k,508,178
Muthoot Fincorp,4.5,8.9k,NBFC | Bangalore / Bengaluru +969 other locations,9k,1k,63
